"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2019-05-26,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Guardado, de, Abajo,, Tamaulipas,, Mexico","-98.938498099, 26.369909306"
2019-05-27,1,,,1,,"Western, /, Southern, Asia, (P)",Drowning,"Turkey-Europe, land, route","Evros/Meriç, river,, Kurdu,, Uzunköprü, district,, Edirne,, Turkey","26.600055381, 41.32677504"
2019-05-28,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.279483, 32.02095"
2019-05-29,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.3139, 32.2254"
2019-05-29,2,5,,2,,"Western, Africa",Drowning,"Western, Mediterranean","Off, the, coast, of, Cap, Spartel,, Tangiers,, Morocco,, in, the, Gibraltar, Strait","-5.939018318, 35.868743207"
2019-05-29,1,,,1,,"South, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Interstate, highway, I-10,, near, Executive, Center, Boulevard,, El, Paso,, El, Paso, County,, Texas,, USA","-106.51968731, 31.792900428"
2019-05-30,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Canal, Calexico,, Imperial, County,, California,, USA","-115.4988834, 32.6789476"
2019-05-30,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.2981, 31.9742"
2019-05-30,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.3756, 31.8351"
2019-05-31,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, International, Bridge, II, Juárez-Lincoln,, Nuevo, Laredo,, Tamaulipas,, Mexico","-99.502177619, 27.499954648"
2019-06-01,1,,1,,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Ranch, near, USBP, checkpoint, on, U.S., Highway, 281, near, Falfurrias,, Brooks, County,, Texas,, USA","-98.089773823, 27.11553629"
2019-06-01,1,,1,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.863967, 31.690917"
2019-06-01,2,,,2,,"Southern, Asia, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"West, Java,, Indonesia","108.193411, -6.950265"
2019-06-01,1,,,1,,Unknown,"Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Unspecified, location, in, the, desert,, Libya, near, border, with, Sudan","24.109618, 20.766688"
2019-06-02,2,,,2,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Unspecified, location, in, the, desert,, Libya","21.835454, 23.84594"
2019-06-02,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.1393, 32.509583"
2019-06-02,1,,1,,1,"Eastern, Africa, (P)",Drowning,"Horn, of, Africa, to, Yemen, crossing","Off, the, coast, of, Obock,, Djibouti","43.304581, 11.957259"
2019-06-02,1,,,1,,"Central, America","Sickness, /, lack, of, access, to, adequate, healthcare","US-Mexico, border, crossing","Hospital, in, Roma,, Starr, County,, Texas,, shortly, after, crossing, the, US-Mexico, border","-99.0156554, 26.4088523"
2019-06-02,8,13,1,,,Caribbean,Drowning,,"22, miles, off, Punta, de, los, Nidos,, near, Cabeza, de, Toro,, La, Altagracia,, Dominican, Republic","-68.18547775, 18.821146905"
2019-06-02,27,73,1,,1,Unknown,Drowning,"Central, Mediterranean","Off, the, coast, of, Garaboli,, Libya","13.828666325, 33.374467702"
2019-06-02,1,,,,,"Sub-Saharan, Africa, (P)",Drowning,"Western, Mediterranean","Off, the, coast, of, Cabo, Negro,, near, Tetouan,, Morocco, (Gibraltar, Strait)","-5.232161018, 35.687246561"
2019-06-03,1,,,1,,"Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Rakhine, State,, Myanmar","92.599273, 21.147579"
2019-06-03,1,,1,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Barry, M., Goldwater, Firing, Range,, Yuma,, Yuma, County,, Arizona,, USA","-114.757467601, 32.7270367"
2019-06-03,1,,1,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Hospital, in, Eagle, Pass,, Maverick, County,, Texas,, shortly, after, crossing, the, US-Mexico, border","-100.4995214, 28.7091433"
2019-06-03,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.02456, 32.17028"
2019-06-03,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.07858, 32.29151"
2019-06-03,2,,1,1,,Unknown,"Mixed, or, unknown",,"Sabratha,, Libya","13.30701, 38.12072"
2019-06-04,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.5417, 31.81871"
2019-06-04,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Ranch, near, , USBP, checkpoint, on, U.S., Highway, 281, near, Falfurrias,, Brooks, County,, Texas,, USA","-98.1447463, 27.2052855"
2019-06-04,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, KM14, of, Carretera, Nacional,, southeast, of, Nuevo, Laredo,, Tamaulipas,, Mexico","-99.504941042, 27.372516049"
2019-06-04,1,,1,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Near, Eagle, Pass,, Texas,, USA","-100.502868797, 28.720512236"
2019-06-07,1,,,1,,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Unspecified, location,, chad, desert, near, to, libyan, border,, Chad","18.303248, 21.524523"
2019-06-05,6,10,,6,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Highway, 77, near, Robstown,, Nueces, County,, Texas,, USA","-97.664032, 27.7791692"
2019-06-05,1,,1,,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Ranch, near, Carrizo, Springs,, Dimmit, County,, Texas,, USA","-99.915542341, 28.461656365"
2019-06-06,1,,,1,,Unknown,Drowning,"Western, Mediterranean","Body, recovered, 2, miles, off, the, coast, of, Ouréah,, west, of, Mostaganem,, Algeria","0.008840051, 35.885838718"
2019-06-06,1,,,1,1,"Southern, Asia, (P)","Mixed, or, unknown",,"Rakhine, State,, Myanmar","92.519601, 21.04902"
2019-06-08,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Unspecified, location,, Niger","13.518697, 19.968086"
2019-06-08,2,,2,,,"Sub-Saharan, Africa, (P)",Violence,"Sahara, Desert, crossing","Dao,, Niger","13.773611, 21.706642"
2019-06-07,2,,,2,,"Southern, Asia, (P)","Mixed, or, unknown",,"Yangon, Division,, Myanmar, ","96.556366, 16.909762"
2019-06-07,3,,1,2,,Unknown,Drowning,"Western, Mediterranean","Bodies, recovered, near, Mostaganem,, Algeria","0.071778692, 36.04969922"
2019-06-07,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Ranch, near, Carrizo, Springs,, Dimmit, County,, Texas,, USA","-99.975967145, 28.521344741"
2019-06-07,2,,,2,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Eagle, Pass, Bridge, No., 1,, Eagle, Pass,, Maverick, County,, Texas,, USA","-100.51177581, 28.706046434"
2019-06-07,1,,,1,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.254017, 31.96955"
2019-06-07,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","All, American, Canal,, Calexico,, Imperial, County,, California,, USA","-115.527679596, 32.667714006"
2019-06-08,2,,2,,,"Sub-Saharan, Africa, (P)",Violence,"Sahara, Desert, crossing","Unspecified, location,, Niger","13.518697, 19.968086"
2019-06-08,3,,,3,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Dao,, Niger","13.773611, 21.706642"
2019-06-08,1,,,1,,Unknown,Violence,"Sahara, Desert, crossing","Qatrun,, Libya","14.633161, 24.934383"
2019-06-08,1,,,1,,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Garin, Kouka,, Niger","3.5125, 12.95902"
2019-06-09,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Garin, Kouka,, Niger","3.5125, 12.95902"
2019-06-09,1,,,1,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bamako,, Mali","12.617282, -7.995856"
2019-06-09,1,,1,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Ougadougou,, Burkina, Faso","12.368721, -1.52105"
2019-06-08,1,,1,,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Body, found, in, a, canal, along, Passmore, Road,, Socorro,, El, Paso, County,, Texas,, USA","-106.27608, 31.6220619"
2019-06-08,3,,,3,,"Southern, Asia, (P)",Violence,,"Sistan, and, Baluchestan, Province,, Iran","60.739341, 30.152124"
2019-06-09,4,,1,2,1,"Southern, Asia, (P)","Mixed, or, unknown",,"Songkhla, Province,, Thailand","100.623352, 6.545068"
2019-06-09,1,,1,,,"Southern, Asia, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Unspecified, location, in, the, jungle,, Thailand","101.823185, 5.875992"
2019-06-09,1,,,1,,"Western, Africa","Sickness, /, lack, of, access, to, adequate, healthcare",,"Afrah, camp,, near, Nador,, Morocco","-2.970536364, 35.138187622"
2019-06-09,2,,,2,1,"Sub-Saharan, Africa, (P)",Violence,,"Unspecified, location, in, Burkina, Faso","14.281303, -0.46162"
2019-06-09,1,,1,,,Unknown,"Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Kufra,, Libya","21.993292, 23.848018"
2019-06-09,1,,,1,,Unknown,Drowning,"Western, Mediterranean","Body, recovered, on, Kaf, Lasfar, beach,, municipality, of, Achaâcha,, Mostaganem,, Algeria","0.578667131, 36.307409825"
2019-06-09,32,,,1,,"South, America",Drowning,"Venezuela, to, Caribbean","Body, recovered, near, Bullenbaai,, Curaçao,Unspecified, location, between, Curaçao, and, Agüide,, Falcón,, Venezuela","-68.683061165, 11.772904481"
2019-06-11,1,1,,1,,"Eastern, Africa, (P)",Violence,,"Bosaso,, Somalia","49.1878994, 11.2755407"
2019-06-12,1,,1,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Ougadougou,, Burkina, Faso","12.368721, -1.52105"
2019-06-12,2,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Garin, Kouka,, Niger","3.5125, 12.95902"
2019-06-13,1,,,1,,"Sub-Saharan, Africa, (P)",Violence,"Sahara, Desert, crossing","Sokoto,, Nigeria","13.003318, 5.246401"
2019-06-10,3,,,3,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Bodies, recovered, from, a, storm, water, drain, near, Ascarate, Park,, next, to, the, César, Chávez, Border, Highway, by, Fonseca, Drive,, El, Paso,, El, Paso, County,, Texas,, USA","-106.333742785, 31.675628312"
2019-06-10,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Body, recovered, from, canal, in, the, 6000, block, of, Upper, Valley, Road,, El, Paso,, El, Paso, County,, Texas,, USA","-106.61163513, 31.870028154"
2019-06-10,1,7,,1,,Unknown,Drowning,"Western, Mediterranean","Fell, overboard, from, boat, in, the, Gibraltar, Strait,, between, Tangiers, and, Tarifa,, Spain","-5.768592627, 35.898974661"
2019-06-10,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.795, 32.42877"
2019-06-10,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Atbara,, Sudan","34.042331, 17.690454"
2019-06-10,2,,2,,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Atbara,, Sudan","34.042331, 17.690454"
2019-06-11,7,57,6,1,2,"Sub-Saharan, Africa, (P)",Drowning,"Eastern, Mediterranean","In, the, area, of, Pamfyla,, 2.5, miles, off, the, port, of, Mytilene,, Lesvos,, Greece","26.616327699, 39.123278725"
2019-06-11,1,,,1,,"Central, America","Sickness, /, lack, of, access, to, adequate, healthcare",,"Near, INM, border, checkpoint, in, Tapachula-Huehuetán,, Chiapas,, Mexico","-92.3808465, 15.019419"
2019-06-12,2,,1,1,1,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Lower, Valley, canal,, at, the, 700, block, of, S., Zaragoza, Road, and, S, Americas, Avenue,, El, Paso,, El, Paso, County,, Texas,, USA","-106.337425829, 31.674166603"
2019-06-12,5,48,,5,,Unknown,"Mixed, or, unknown","Western, Mediterranean","Alboran, Sea,, 22, miles, south, of, Motril,, Granada,, Spain","-3.461884254, 36.141836729"
2019-06-12,1,4,1,,1,"Southern, Asia","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","17, miles, west, of, Lukeville,, Pima, County,, Arizona,, USA","-112.925537844, 31.915388342"
2019-06-12,1,,,1,,"Western, /, Southern, Asia, (P)",Drowning,"Western, Balkans","Kolpa/Kupa, river,, near, Vukovci,, Črnomelj,, Slovenia","15.2272114, 45.428570424"
2019-06-12,1,,,1,,"Southern, Asia",Drowning,"Western, Balkans","Una, river,, near, Cazin,, Una-Sana, Canton,, Bosnia, and, Herzegovina","15.956558922, 44.905913352"
2019-06-13,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Abidjan,, Ivory, Coast","5.34845, -4.024984"
2019-06-14,2,,,2,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bamako,, Mali","12.617282, -7.995856"
2019-06-13,2,,,2,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Unspecified, location, in, the, desert,, Libya","21.835454, 23.84594"
2019-06-13,3,,2,1,2,Unknown,"Mixed, or, unknown","Sahara, Desert, crossing","Bani, Walid,, Libya","14.03511, 31.76402"
2019-06-15,1,,,1,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bamako,, Mali","12.617282, -7.995856"
2019-06-13,1,,,1,,"Central, America",Violence,"US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.01338, 31.858"
2019-06-15,2,,2,,,"Sub-Saharan, Africa, (P)",Violence,,"Kayes,, Mali","14.435103, -11.444687"
2019-06-15,1,,,1,1,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Unspecified, location,, in, desert, near, border, with, Libya,, Chad","16.342173, 22.872291"
2019-06-14,1,2,1,,,"Central, America",Violence,,"KM26+300, in, highway, Villahermosa–Coatzacoalcos,, near, Agua, Dulce,, Coatzacoalcos,, Veracruz,, Mexico","-94.135662914, 18.05419373"
2019-06-14,1,1,1,,,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.938567, 32.007317"
2019-06-15,2,,1,1,1,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Small, cave, in, an, unspecified, location, in, the, Sahara, desert,, Sudan","26.220845, 18.448899"
2019-06-15,1,,1,,1,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Sudan","26.220845, 18.448899"
2019-06-15,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Central, Main, Canal,, El, Centro,, Imperial, County,, California,, USA","-115.593696092, 32.769644102"
2019-06-15,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Campo, Águilas,, Piedras, Negras,, Coahuila,, Mexico","-100.508585084, 28.711767097"
2019-06-15,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.06755, 32.407"
2019-06-15,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Ndjamena,, Chad","12.128946, 15.056086"
2019-06-15,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Ougadougou,, Burkina, Faso","12.368721, -1.52105"
2019-06-15,1,,1,,,"Sub-Saharan, Africa, (P)",Violence,,"Abidjan,, Ivory, Coast","5.34845, -4.024984"
2019-06-16,4,,4,,4,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bamako,, Mali","12.617282, -7.995856"
2019-06-16,2,,2,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Sikasso,, Mali","11.316677, -5.691763"
2019-06-17,2,,2,,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Accra,, Ghana","5.597359, -0.185566"
2019-06-15,1,,1,,1,"Southern, Asia, (P)","Mixed, or, unknown",,"Yoma, Mountain,, Rakhine, State,, Myanmar","94.693844, 18.934699"
2019-06-15,6,,2,2,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Chittagong, Division,, Bangladesh","91.856342, 22.355284"
2019-06-15,3,,2,1,1,"Southern, Asia, (P)","Mixed, or, unknown",,"Bangkok,, Thailand","100.400762, 13.740268"
2019-06-16,1,,1,,,"Southern, Asia, (P)","Mixed, or, unknown",,"Bangkok,, Thailand","100.400762, 13.740268"
2019-06-19,1,,,1,1,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Bouake,, Ivory, Coast","7.686422, -5.033005"
2019-06-19,2,,,2,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Kuseri,, Chad","85.80354, 25.21011"
2019-06-16,1,,,1,,"Central, America","Mixed, or, unknown",,"Train, tracks, near, Colonia, Simeprode,, Salinas, Victoria,, Nuevo, León,, Mexico","-100.280354833, 25.96451365"
2019-06-17,12,31,2,7,3,"Western, Asia",Drowning,"Eastern, Mediterranean","Off, the, coast, of, Bodrum,, Turkey","27.400403873, 36.961190531"
2019-06-17,1,,,,,"Western, /, Southern, Asia, (P)",Drowning,"Western, Balkans","Kolpa/Kupa, river,, near, Breg,, Črnomelj,, Slovenia","15.129590885, 45.44580757"
2019-06-20,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Garin, Kouka,, Niger","3.5125, 12.95902"
